segment_type,segment_value,first_sessions,view_item_sessions,add_to_cart_sessions,begin_checkout_sessions,purchase_sessions,view_item_reach_rate,view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,first_session_purchase_rate
device_category,desktop,50745,11915,3180,1742,571,0.2348,0.2669,0.5478,0.3278,0.0113
device_category,mobile,34405,7989,2164,1201,422,0.2322,0.2709,0.555,0.3514,0.0123
device_category,tablet,1917,415,113,62,16,0.2165,0.2723,0.5487,0.2581,0.0083
has_click,false,86886,20242,5436,2994,1003,0.233,0.2686,0.5508,0.335,0.0115
has_click,true,181,77,21,11,6,0.4254,0.2727,0.5238,0.5455,0.0331
has_scroll,true,46522,15035,4283,2464,1006,0.3232,0.2849,0.5753,0.4083,0.0216
has_scroll,false,40545,5284,1174,541,3,0.1303,0.2222,0.4608,0.0055,1.0E-4
has_search,false,82511,17961,4334,2019,853,0.2177,0.2413,0.4659,0.4225,0.0103
has_search,true,4556,2358,1123,986,156,0.5176,0.4763,0.878,0.1582,0.0342
landing_page_group,other,37568,8194,1032,562,260,0.2181,0.1259,0.5446,0.4626,0.0069
landing_page_group,home,33503,9309,3868,2248,661,0.2779,0.4155,0.5812,0.294,0.0197
landing_page_group,category_or_collection,15996,2816,557,195,88,0.176,0.1978,0.3501,0.4513,0.0055
source_medium,google / organic,30100,6966,1851,1014,342,0.2314,0.2657,0.5478,0.3373,0.0114
source_medium,direct / none,20588,4813,1330,723,228,0.2338,0.2763,0.5436,0.3154,0.0111
source_medium,Other / Other,15303,3460,954,521,157,0.2261,0.2757,0.5461,0.3013,0.0103
source_medium,Other / referral,8125,1916,491,270,90,0.2358,0.2563,0.5499,0.3333,0.0111
source_medium,google / cpc,4696,1014,278,154,55,0.2159,0.2742,0.554,0.3571,0.0117
source_medium,shop.googlemerchandisestore.com / referral,4683,1151,314,188,73,0.2458,0.2728,0.5987,0.3883,0.0156
source_medium,Other / organic,2765,646,146,75,28,0.2336,0.226,0.5137,0.3733,0.0101
source_medium,(not set) / (not set),797,350,92,60,36,0.4391,0.2629,0.6522,0.6,0.0452
