analysis_type,segment_value,first_sessions,view_item_sessions,add_to_cart_sessions,begin_checkout_sessions,purchase_sessions,view_item_reach_rate,view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,sequential_purchase_rate
landing_by_source: (not set) / (not set),/,394,160,58,21,12,0.4061,0.3625,0.3621,0.5714,0.0305
landing_by_source: direct / none,/,7874,2247,917,324,118,0.2854,0.4081,0.3533,0.3642,0.015
landing_by_source: direct / none,/Google+Redesign/Apparel,3056,219,38,10,7,0.0717,0.1735,0.2632,0.7,0.0023
landing_by_source: direct / none,/Google+Redesign/Shop+by+Brand/YouTube,1958,416,71,14,5,0.2125,0.1707,0.1972,0.3571,0.0026
landing_by_source: direct / none,/Google+Redesign/Apparel/Google+Dino+Game+Tee,1854,18,3,0,0,0.0097,0.1667,0.0,,0.0
landing_by_source: direct / none,/store.html,1186,101,6,3,0,0.0852,0.0594,0.5,0.0,0.0
landing_by_source: direct / none,/Google+Redesign/Apparel/Mens/Mens+T+Shirts,467,178,39,6,2,0.3812,0.2191,0.1538,0.3333,0.0043
landing_by_source: direct / none,/Google+Redesign/Shop+by+Brand/Google,244,129,42,15,9,0.5287,0.3256,0.3571,0.6,0.0369
landing_by_source: direct / none,/Google+Redesign/Apparel/YouTube+Icon+Hoodie+Black,227,6,1,0,0,0.0264,0.1667,0.0,,0.0
landing_by_source: direct / none,/Google+Redesign/Lifestyle/Drinkware,225,19,4,2,0,0.0844,0.2105,0.5,0.0,0.0
landing_by_source: direct / none,/store-policies/frequently-asked-questions/,224,3,1,0,0,0.0134,0.3333,0.0,,0.0
landing_by_source: direct / none,/Google+Redesign/Apparel/Mens,208,96,29,11,7,0.4615,0.3021,0.3793,0.6364,0.0337
landing_by_source: direct / none,/signin.html,161,37,9,5,3,0.2298,0.2432,0.5556,0.6,0.0186
landing_by_source: direct / none,/Google+Redesign/Stationery/Stickers,143,35,10,1,0,0.2448,0.2857,0.1,0.0,0.0
landing_by_source: direct / none,/Google+Redesign/Lifestyle/Bags,136,27,7,3,1,0.1985,0.2593,0.4286,0.3333,0.0074
landing_by_source: direct / none,/Google+Redesign/Accessories/Google+Chrome+Dinosaur+Collectible,128,122,1,0,0,0.9531,0.0082,0.0,,0.0
landing_by_source: direct / none,/Google+Redesign/New,120,20,3,1,0,0.1667,0.15,0.3333,0.0,0.0
landing_by_source: direct / none,/Google+Redesign/bags/backpacks/,109,44,7,1,0,0.4037,0.1591,0.1429,0.0,0.0
landing_by_source: direct / none,/basket.html,106,14,6,5,2,0.1321,0.4286,0.8333,0.4,0.0189
landing_by_source: google / cpc,/,1720,448,178,59,22,0.2605,0.3973,0.3315,0.3729,0.0128
landing_by_source: google / cpc,/Google+Redesign/Apparel,719,68,18,4,4,0.0946,0.2647,0.2222,1.0,0.0056
landing_by_source: google / cpc,/Google+Redesign/Apparel/Google+Dino+Game+Tee,473,6,0,0,0,0.0127,0.0,,,0.0
landing_by_source: google / cpc,/Google+Redesign/Shop+by+Brand/YouTube,437,81,12,1,1,0.1854,0.1481,0.0833,1.0,0.0023
landing_by_source: google / cpc,/store.html,269,18,1,1,1,0.0669,0.0556,1.0,1.0,0.0037
landing_by_source: google / cpc,/Google+Redesign/Apparel/Mens/Mens+T+Shirts,121,51,13,4,1,0.4215,0.2549,0.3077,0.25,0.0083
landing_by_source: google / organic,/,11528,3151,1262,411,170,0.2733,0.4005,0.3257,0.4136,0.0147
landing_by_source: google / organic,/Google+Redesign/Apparel,4428,385,71,16,10,0.0869,0.1844,0.2254,0.625,0.0023
landing_by_source: google / organic,/Google+Redesign/Shop+by+Brand/YouTube,2895,621,87,13,4,0.2145,0.1401,0.1494,0.3077,0.0014
landing_by_source: google / organic,/Google+Redesign/Apparel/Google+Dino+Game+Tee,2745,22,1,1,0,0.008,0.0455,1.0,0.0,0.0
landing_by_source: google / organic,/store.html,1773,132,23,5,3,0.0745,0.1742,0.2174,0.6,0.0017
landing_by_source: google / organic,/Google+Redesign/Apparel/Mens/Mens+T+Shirts,715,263,72,20,9,0.3678,0.2738,0.2778,0.45,0.0126
landing_by_source: google / organic,/Google+Redesign/Shop+by+Brand/Google,344,194,65,22,13,0.564,0.3351,0.3385,0.5909,0.0378
landing_by_source: google / organic,/Google+Redesign/Apparel/YouTube+Icon+Hoodie+Black,342,11,1,0,0,0.0322,0.0909,0.0,,0.0
landing_by_source: google / organic,/store-policies/frequently-asked-questions/,337,11,3,0,0,0.0326,0.2727,0.0,,0.0
landing_by_source: google / organic,/Google+Redesign/Lifestyle/Drinkware,329,24,0,0,0,0.0729,0.0,,,0.0
landing_by_source: google / organic,/Google+Redesign/Apparel/Mens,256,100,22,5,4,0.3906,0.22,0.2273,0.8,0.0156
landing_by_source: google / organic,/Google+Redesign/Lifestyle/Bags,210,36,2,1,0,0.1714,0.0556,0.5,0.0,0.0
landing_by_source: google / organic,/Google+Redesign/Stationery/Stickers,202,41,7,2,1,0.203,0.1707,0.2857,0.5,0.005
landing_by_source: google / organic,/signin.html,193,51,16,3,1,0.2642,0.3137,0.1875,0.3333,0.0052
landing_by_source: google / organic,/Google+Redesign/Accessories/Google+Chrome+Dinosaur+Collectible,181,165,4,2,1,0.9116,0.0242,0.5,0.5,0.0055
landing_by_source: google / organic,/Google+Redesign/bags/backpacks/,180,71,5,3,0,0.3944,0.0704,0.6,0.0,0.0
landing_by_source: google / organic,/basket.html,136,14,2,0,0,0.1029,0.1429,0.0,,0.0
landing_by_source: google / organic,/Google+Redesign/New,135,37,12,4,3,0.2741,0.3243,0.3333,0.75,0.0222
