source_medium,landing_path,first_sessions,share_within_listed_landing_pct,view_item_reach_pct,sequential_purchase_rate_pct
direct / none,/,7874,42.73,28.54,1.5
direct / none,/Google+Redesign/Apparel,3056,16.59,7.17,0.23
direct / none,/Google+Redesign/Shop+by+Brand/YouTube,1958,10.63,21.25,0.26
direct / none,/Google+Redesign/Apparel/Google+Dino+Game+Tee,1854,10.06,0.97,0.0
direct / none,/store.html,1186,6.44,8.52,0.0
google / organic,/,11528,42.29,27.33,1.47
google / organic,/Google+Redesign/Apparel,4428,16.24,8.69,0.23
google / organic,/Google+Redesign/Shop+by+Brand/YouTube,2895,10.62,21.45,0.14
google / organic,/Google+Redesign/Apparel/Google+Dino+Game+Tee,2745,10.07,0.8,0.0
google / organic,/store.html,1773,6.5,7.45,0.17
shop.googlemerchandisestore.com / referral,/,1835,50.54,27.74,2.02
shop.googlemerchandisestore.com / referral,/Google+Redesign/Apparel,653,17.98,11.03,0.15
shop.googlemerchandisestore.com / referral,/Google+Redesign/Shop+by+Brand/YouTube,406,11.18,22.17,0.0
shop.googlemerchandisestore.com / referral,/Google+Redesign/Apparel/Google+Dino+Game+Tee,402,11.07,0.25,0.0
shop.googlemerchandisestore.com / referral,/store.html,233,6.42,7.73,0.43
