aggregation_level,week_start,week_end,active_user_segment,first_sessions,view_item_sessions,add_to_cart_sessions,begin_checkout_sessions,purchase_sessions,view_item_reach_rate,view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,overall_funnel_cvr
main_period_total,,,NAU,95490,20319,5233,1697,714,0.2128,0.2575,0.3243,0.4207,0.0075
main_period_total,,,EAU,5985,1814,516,203,140,0.3031,0.2845,0.3934,0.6897,0.0234
main_period_total,,,RAU,4104,1670,546,229,156,0.4069,0.3269,0.4194,0.6812,0.038
weekly,2020-11-23,2020-11-29,NAU,20072,4733,852,288,117,0.2358,0.18,0.338,0.4063,0.0058
weekly,2020-11-23,2020-11-29,EAU,1369,382,47,21,14,0.279,0.123,0.4468,0.6667,0.0102
weekly,2020-11-23,2020-11-29,RAU,685,246,31,14,10,0.3591,0.126,0.4516,0.7143,0.0146
weekly,2020-11-30,2020-12-06,NAU,22034,5421,1665,555,211,0.246,0.3071,0.3333,0.3802,0.0096
weekly,2020-11-30,2020-12-06,EAU,1434,396,120,49,35,0.2762,0.303,0.4083,0.7143,0.0244
weekly,2020-11-30,2020-12-06,RAU,1066,458,170,76,54,0.4296,0.3712,0.4471,0.7105,0.0507
weekly,2020-12-07,2020-12-13,NAU,28545,5474,1604,536,233,0.1918,0.293,0.3342,0.4347,0.0082
weekly,2020-12-07,2020-12-13,EAU,1725,556,184,72,47,0.3223,0.3309,0.3913,0.6528,0.0272
weekly,2020-12-07,2020-12-13,RAU,1228,532,193,88,62,0.4332,0.3628,0.456,0.7045,0.0505
weekly,2020-12-14,2020-12-20,NAU,24839,4691,1112,318,153,0.1889,0.237,0.286,0.4811,0.0062
weekly,2020-12-14,2020-12-20,EAU,1457,480,165,61,44,0.3294,0.3438,0.3697,0.7213,0.0302
weekly,2020-12-14,2020-12-20,RAU,1125,434,152,51,30,0.3858,0.3502,0.3355,0.5882,0.0267
