week_start,week_end,active_user_segment,is_warmup_week,wau,buyer_users,orders,weekly_revenue,weekly_buyer_cvr,arppu,arpu,orders_per_buyer
2020-10-26,2020-11-01,ALL,true,2365,13,14,773.0,0.0055,59.46,0.3268,1.08
2020-10-26,2020-11-01,NAU,true,2365,13,14,773.0,0.0055,59.46,0.3268,1.08
2020-11-02,2020-11-08,ALL,true,19628,242,291,21820.0,0.0123,90.17,1.1117,1.2
2020-11-02,2020-11-08,NAU,true,19374,232,281,21276.0,0.012,91.71,1.0982,1.21
2020-11-02,2020-11-08,EAU,true,254,10,10,544.0,0.0394,54.4,2.1417,1.0
2020-11-09,2020-11-15,ALL,true,17533,325,364,23624.0,0.0185,72.69,1.3474,1.12
2020-11-09,2020-11-15,NAU,true,16232,269,292,17796.0,0.0166,66.16,1.0964,1.09
2020-11-09,2020-11-15,EAU,true,1265,55,71,5810.0,0.0435,105.64,4.5929,1.29
2020-11-09,2020-11-15,RAU,true,36,1,1,18.0,0.0278,18.0,0.5,1.0
2020-11-16,2020-11-22,ALL,true,19968,362,563,38086.0,0.0181,105.21,1.9074,1.56
2020-11-16,2020-11-22,NAU,true,18167,256,399,26450.0,0.0141,103.32,1.4559,1.56
2020-11-16,2020-11-22,EAU,true,1369,81,129,8978.0,0.0592,110.84,6.5581,1.59
2020-11-16,2020-11-22,RAU,true,432,25,35,2658.0,0.0579,106.32,6.1528,1.4
2020-11-23,2020-11-29,ALL,false,22126,497,679,47897.0,0.0225,96.37,2.1647,1.37
2020-11-23,2020-11-29,NAU,false,20072,352,454,32493.0,0.0175,92.31,1.6188,1.29
2020-11-23,2020-11-29,EAU,false,1369,83,143,9776.0,0.0606,117.78,7.141,1.72
2020-11-23,2020-11-29,RAU,false,685,62,82,5628.0,0.0905,90.77,8.2161,1.32
2020-11-30,2020-12-06,ALL,false,24534,572,644,42872.0,0.0233,74.95,1.7475,1.13
2020-11-30,2020-12-06,NAU,false,22034,407,446,28054.0,0.0185,68.93,1.2732,1.1
2020-11-30,2020-12-06,EAU,false,1434,82,93,6830.0,0.0572,83.29,4.7629,1.13
2020-11-30,2020-12-06,RAU,false,1066,83,105,7988.0,0.0779,96.24,7.4934,1.27
2020-12-07,2020-12-13,ALL,false,31498,737,865,59865.0,0.0234,81.23,1.9006,1.17
2020-12-07,2020-12-13,NAU,false,28545,462,533,34434.0,0.0162,74.53,1.2063,1.15
2020-12-07,2020-12-13,EAU,false,1725,152,188,14165.0,0.0881,93.19,8.2116,1.24
2020-12-07,2020-12-13,RAU,false,1228,123,144,11266.0,0.1002,91.59,9.1743,1.17
2020-12-14,2020-12-20,ALL,false,27421,523,685,47276.0,0.0191,90.39,1.7241,1.31
2020-12-14,2020-12-20,NAU,false,24839,338,403,23976.0,0.0136,70.93,0.9653,1.19
2020-12-14,2020-12-20,EAU,false,1457,121,191,16944.0,0.083,140.03,11.6294,1.58
2020-12-14,2020-12-20,RAU,false,1125,64,91,6356.0,0.0569,99.31,5.6498,1.42
2020-12-21,2020-12-27,ALL,false,19137,230,257,14716.0,0.012,63.98,0.769,1.12
2020-12-21,2020-12-27,NAU,false,17430,123,136,6184.0,0.0071,50.28,0.3548,1.11
2020-12-21,2020-12-27,EAU,false,1031,55,63,4771.0,0.0533,86.75,4.6275,1.15
2020-12-21,2020-12-27,RAU,false,676,52,58,3761.0,0.0769,72.33,5.5636,1.12
2020-12-28,2021-01-03,ALL,false,17948,136,164,10267.0,0.0076,75.49,0.572,1.21
2020-12-28,2021-01-03,NAU,false,16615,69,90,5528.0,0.0042,80.12,0.3327,1.3
2020-12-28,2021-01-03,EAU,false,678,33,36,2441.0,0.0487,73.97,3.6003,1.09
2020-12-28,2021-01-03,RAU,false,655,34,38,2298.0,0.0519,67.59,3.5084,1.12
2021-01-04,2021-01-10,ALL,false,24710,161,170,9465.0,0.0065,58.79,0.383,1.06
2021-01-04,2021-01-10,NAU,false,22908,103,110,5517.0,0.0045,53.56,0.2408,1.07
2021-01-04,2021-01-10,EAU,false,620,24,25,1820.0,0.0387,75.83,2.9355,1.04
2021-01-04,2021-01-10,RAU,false,1182,34,35,2128.0,0.0288,62.59,1.8003,1.03
2021-01-11,2021-01-17,ALL,false,23375,224,254,13188.0,0.0096,58.88,0.5642,1.13
2021-01-11,2021-01-17,NAU,false,21433,136,156,8180.0,0.0063,60.15,0.3817,1.15
2021-01-11,2021-01-17,EAU,false,1041,43,44,2351.0,0.0413,54.67,2.2584,1.02
2021-01-11,2021-01-17,RAU,false,901,45,54,2657.0,0.0499,59.04,2.9489,1.2
2021-01-18,2021-01-24,ALL,false,22647,367,395,26598.0,0.0162,72.47,1.1745,1.08
2021-01-18,2021-01-24,NAU,false,20698,270,284,20318.0,0.013,75.25,0.9816,1.05
2021-01-18,2021-01-24,EAU,false,1119,45,58,2803.0,0.0402,62.29,2.5049,1.29
2021-01-18,2021-01-24,RAU,false,830,52,53,3477.0,0.0627,66.87,4.1892,1.02
2021-01-25,2021-01-31,ALL,false,21590,306,343,5546.0,0.0142,18.12,0.2569,1.12
2021-01-25,2021-01-31,NAU,false,19442,161,187,2283.0,0.0083,14.18,0.1174,1.16
2021-01-25,2021-01-31,EAU,false,1195,89,95,2634.0,0.0745,29.6,2.2042,1.07
2021-01-25,2021-01-31,RAU,false,953,56,61,629.0,0.0588,11.23,0.66,1.09
