week_start,week_end,active_user_segment,wau,buyer_users,orders,weekly_revenue,weekly_buyer_cvr,arppu,arpu,orders_per_buyer
2020-11-23,2020-11-29,ALL,22126,497,679,47897.0,0.0225,96.37,2.1647,1.37
2020-11-23,2020-11-29,NAU,20072,352,454,32493.0,0.0175,92.31,1.6188,1.29
2020-11-23,2020-11-29,EAU,1369,83,143,9776.0,0.0606,117.78,7.141,1.72
2020-11-23,2020-11-29,RAU,685,62,82,5628.0,0.0905,90.77,8.2161,1.32
2020-11-30,2020-12-06,ALL,24534,572,644,42872.0,0.0233,74.95,1.7475,1.13
2020-11-30,2020-12-06,NAU,22034,407,446,28054.0,0.0185,68.93,1.2732,1.1
2020-11-30,2020-12-06,EAU,1434,82,93,6830.0,0.0572,83.29,4.7629,1.13
2020-11-30,2020-12-06,RAU,1066,83,105,7988.0,0.0779,96.24,7.4934,1.27
2020-12-07,2020-12-13,ALL,31498,737,865,59865.0,0.0234,81.23,1.9006,1.17
2020-12-07,2020-12-13,NAU,28545,462,533,34434.0,0.0162,74.53,1.2063,1.15
2020-12-07,2020-12-13,EAU,1725,152,188,14165.0,0.0881,93.19,8.2116,1.24
2020-12-07,2020-12-13,RAU,1228,123,144,11266.0,0.1002,91.59,9.1743,1.17
2020-12-14,2020-12-20,ALL,27421,523,685,47276.0,0.0191,90.39,1.7241,1.31
2020-12-14,2020-12-20,NAU,24839,338,403,23976.0,0.0136,70.93,0.9653,1.19
2020-12-14,2020-12-20,EAU,1457,121,191,16944.0,0.083,140.03,11.6294,1.58
2020-12-14,2020-12-20,RAU,1125,64,91,6356.0,0.0569,99.31,5.6498,1.42
